tick,cell_id,cx,cy,y_min,y_max,auxin
3,630,85.5,272.8662207230941,270.3362685620423,275.3961728841459,21.3116
3,637,56.5,281.9740485028807,275.3961728841459,288.5519241216154,21.3343
3,644,85.5,281.9740485028807,275.3961728841459,288.5519241216154,21.3343
3,651,56.5,295.6357901725605,288.5519241216154,302.71965622350564,21.3504
3,658,85.5,295.6357901725605,288.5519241216154,302.71965622350564,21.3504
3,665,56.5,310.81550313887146,302.71965622350564,318.91135005423735,21.3503
3,672,85.5,310.81550313887146,302.71965622350564,318.91135005423735,21.3503
3,679,56.5,328.52516826623423,318.91135005423735,338.1389864782312,21.3512
3,686,85.5,328.52516826623423,318.91135005423735,338.1389864782312,21.3512
3,693,56.5,349.77676641906953,338.1389864782312,361.41454635990794,21.3527
3,700,85.5,349.77676641906953,338.1389864782312,361.41454635990794,21.3527
3,707,56.5,375.5822784617982,361.41454635990794,389.7500105636884,21.3542
3,714,85.5,375.5822784617982,361.41454635990794,389.7500105636884,21.3542
